WAVELENGTH	NORM_INTENSITY
200.03757	0
200.24029	0
200.44301	0
200.64576	0
200.84852	0
201.0513	0
201.2541	0
201.45692	0
201.65975	0
201.8626	0
202.06546	0
202.26835	0
202.47125	0
202.67416	0
202.8771	0
203.08005	0
203.28302	0
203.486	0
203.68901	0
203.89203	0
204.09506	0
204.29812	0
204.50119	0
204.70428	0
204.90738	0
205.1105	0
205.31364	0
205.5168	0
205.71997	0
205.92316	0
206.12637	0
206.3296	0
206.53284	0
206.7361	0
206.93937	0
207.14266	0
207.34597	0
207.5493	0
207.75264	0
207.956	0
208.15938	0
208.36278	0
208.56619	0
208.76962	0
208.97306	0
209.17652	0
209.38	0
209.5835	0
209.78701	0
209.99054	0
210.19409	0
210.39766	0
210.60124	0
210.80484	0
211.00845	0
211.21208	0
211.41573	0
211.6194	0
211.82308	0
212.02678	0
212.2305	0
212.43423	0
212.63798	0
212.84175	0
213.04554	0
213.24934	0
213.45316	0
213.65699	0
213.86084	0
214.06471	0
214.2686	0
214.4725	0
214.67642	0
214.88036	0
215.08431	0
215.28828	0
215.49227	0
215.69628	0
215.9003	0
216.10434	0
216.30839	0
216.51246	0
216.71655	0
216.92066	0
217.12478	0
217.32892	0
217.53308	0
217.73725	0
217.94144	0
218.14565	0
218.34987	0
218.55411	0
218.75837	0
218.96264	0
219.16693	0
219.37124	0
219.57557	0
219.77991	0
219.98427	0
220.18864	0
220.39303	0
220.59744	0
220.80187	0
221.00631	0
221.21077	0
221.41525	0
221.61974	0
221.82425	0
222.02878	0
222.23332	0
222.43788	0
222.64246	0
222.84705	0
223.05166	0
223.25629	0
223.46093	0
223.66559	0
223.87027	0
224.07496	0
224.27968	0
224.4844	0
224.68915	0
224.89391	0
225.09869	0
225.30348	0
225.50829	0
225.71312	0
225.91797	0
226.12283	0
226.32771	0
226.5326	0
226.73751	0
226.94244	0
227.14739	0
227.35235	0
227.55733	0
227.76232	0
227.96734	0
228.17237	0
228.37741	0
228.58247	0
228.78755	0
228.99265	0
229.19776	0
229.40289	0
229.60803	0
229.8132	0
230.01838	0
230.22357	0
230.42878	0
230.63401	0
230.83926	0
231.04452	0
231.2498	0
231.4551	0
231.66041	0
231.86574	0
232.07108	0
232.27644	0
232.48182	0
232.68722	0
232.89263	0
233.09806	0
233.3035	0
233.50897	0
233.71444	0
233.91994	0
234.12545	0
234.33098	0
234.53653	0
234.74209	0
234.94766	0
235.15326	0
235.35887	0
235.5645	0
235.77014	0
235.9758	0
236.18148	0
236.38718	0
236.59289	0
236.79861	0
237.00436	0
237.21012	0
237.4159	0
237.62169	0
237.8275	0
238.03333	0
238.23917	0
238.44503	0
238.65091	0
238.8568	0
239.06271	0
239.26863	0
239.47458	0
239.68054	0
239.88651	0
240.0925	0
240.29851	0
240.50454	0
240.71058	0
240.91664	0
241.12271	0
241.3288	0
241.53491	0
241.74103	0
241.94717	0
242.15333	0
242.3595	0
242.56569	0
242.7719	0
242.97812	0
243.18436	0
243.39062	0
243.59689	0
243.80318	0
244.00949	0
244.21581	0
244.42215	0
244.6285	0
244.83487	0
245.04126	0
245.24766	0
245.45408	0
245.66052	0
245.86697	0
246.07344	0
246.27993	0
246.48643	0
246.69295	0
246.89949	0
247.10604	0
247.31261	0
247.51919	0
247.72579	0
247.93241	0
248.13904	0
248.34569	0
248.55236	0
248.75904	0
248.96574	0
249.17246	0
249.37919	0
249.58594	0
249.7927	0
249.99948	0
250.20628	0
250.4131	0
250.61993	0
250.82677	0
251.03364	0
251.24052	0
251.44741	0
251.65432	0
251.86125	0
252.0682	0
252.27516	0
252.48213	0
252.68913	0
252.89614	0
253.10316	0
253.31021	0
253.51727	0
253.72434	0
253.93143	0
254.13854	0
254.34567	0
254.55281	0
254.75996	0
254.96714	0
255.17433	0
255.38153	0
255.58875	0
255.79599	0
256.00325	0
256.21052	0
256.4178	0
256.62511	0
256.83243	0
257.03976	0
257.24711	0
257.45448	0
257.66187	0
257.86927	0
258.07669	0
258.28412	0
258.49157	0
258.69903	0
258.90652	0
259.11401	0
259.32153	0
259.52906	0
259.73661	0
259.94417	0
260.15175	0
260.35935	0
260.56696	0
260.77459	0
260.98223	0
261.18989	0
261.39757	0
261.60526	0
261.81297	0
262.02069	0
262.22844	0
262.43619	0
262.64397	0
262.85176	0
263.05956	0
263.26739	0
263.47522	0
263.68308	0
263.89095	0
264.09884	0
264.30674	0
264.51466	0
264.72259	0
264.93055	0
265.13851	0
265.3465	0
265.5545	0
265.76251	0
265.97054	0
266.17859	0
266.38666	0
266.59474	0
266.80283	0
267.01095	0
267.21908	0
267.42722	0
267.63538	0
267.84356	0
268.05175	0
268.25996	0
268.46819	0
268.67643	0
268.88469	0
269.09296	0
269.30125	0
269.50956	0
269.71788	0
269.92622	0
270.13457	0
270.34294	0
270.55133	0
270.75973	0
270.96815	0
271.17658	0
271.38503	0
271.5935	0
271.80198	0
272.01048	0
272.21899	0
272.42753	0
272.63607	0
272.84463	0
273.05321	0
273.26181	0
273.47042	0
273.67905	0
273.88769	0
274.09635	0
274.30502	0
274.51371	0
274.72242	0
274.93114	0
275.13988	0
275.34864	0
275.55741	0
275.76619	0
275.975	0
276.18381	0
276.39265	0
276.6015	0
276.81037	0
277.01925	0
277.22815	0
277.43706	0
277.64599	0
277.85494	0
278.0639	0
278.27288	0
278.48187	0
278.69088	0
278.89991	0
279.10895	0
279.31801	0
279.52708	0
279.73617	0
279.94528	0
280.1544	0
280.36354	0
280.57269	0
280.78186	0
280.99104	0
281.20025	0
281.40946	0
281.6187	0
281.82794	0
282.03721	0
282.24649	0
282.45579	0
282.6651	0
282.87443	0
283.08377	0
283.29313	0
283.50251	0
283.7119	0
283.92131	0
284.13073	0
284.34017	0
284.54962	0
